Outcome,PC,Selected,LASSO_Coefficient,PostLASSO_Coefficient,Std_Error,t_statistic,p_value,CI_95_lower,CI_95_upper,Model_R2_insample,Model_R2_CV,N_selected
X,35,0,0.0,0.0,0.0,,,,,0.138411815460191,0.07818128493656877,43
AI,35,1,0.015548444,0.022523063684738897,0.018654252618763176,1.2073956617315411,0.22727980547787663,-0.01403927144803693,0.05908539881751472,0.3680746239841085,0.32621072981209526,42
HU,35,1,-0.014202172,-0.02249738071847704,0.019850550847515393,-1.1333378550194206,0.25707240055554303,-0.06140446037960721,0.01640969894265313,0.23611945631324804,0.19384145915219206,46
X,36,1,-0.036703926,-0.04514837071999409,0.020302589841928013,-2.2237739653665103,0.02616365587311117,-0.08494144681017299,-0.00535529462981519,0.138411815460191,0.07818128493656877,43
AI,36,1,-0.009020982,-0.0159956208043855,0.019377537932563398,-0.8254722999409186,0.4091035026248644,-0.05397559515220976,0.02198435354343876,0.3680746239841085,0.32621072981209526,42
HU,36,1,-0.005916758,-0.014211962115152842,0.020964322469783702,-0.6779118254661856,0.4978276016210862,-0.055302034155928895,0.026878109925623214,0.23611945631324804,0.19384145915219206,46
X,37,1,0.04813693,0.05658137675971001,0.021823287211833773,2.5927064154216195,0.009522401935539694,0.01380773382451582,0.0993550196949042,0.138411815460191,0.07818128493656877,43
AI,37,0,0.0,0.0,0.0,,,,,0.3680746239841085,0.32621072981209526,42
HU,37,1,0.03826491,0.046560120041359225,0.02071791049511383,2.2473366728918003,0.024618518836237748,0.0059530154709361155,0.08716722461178233,0.23611945631324804,0.19384145915219206,46
X,38,1,0.070625454,0.07906990917076231,0.023515650003088015,3.362437745092271,0.0007725754434255486,0.032979235164709804,0.12516058317681483,0.138411815460191,0.07818128493656877,43
AI,38,1,0.086655796,0.09363043192704408,0.018235479836935072,5.134519780356984,2.8286534452540013e-07,0.05788889144665134,0.1293719724074368,0.3680746239841085,0.32621072981209526,42
HU,38,1,0.039460547,0.047755752353856554,0.021158316340232658,2.2570676979173774,0.02400384493231322,0.006285452327000542,0.08922605238071257,0.23611945631324804,0.19384145915219206,46
