Outcome,PC,Selected,LASSO_Coefficient,LASSO_Alpha,Model_R2_insample,Model_R2_CV,N_selected
X,96,1,0.011478122,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,96,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,96,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,97,0,0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,97,0,-0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,97,1,-0.013867919,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,98,0,-0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,98,0,-0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,98,1,-0.023939367,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,99,1,-0.022173971,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,99,1,-0.01415579,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,99,1,-0.010941135,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,100,1,-0.015773652,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,100,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,100,1,0.0033421572,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,101,1,-0.006432182,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,101,1,-0.01938376,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,101,1,-0.007269575,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,102,1,0.02507538,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,102,1,0.039521135,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,102,1,0.036717463,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,103,0,0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,103,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,103,0,-0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,104,1,0.024067838,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,104,1,0.00064590125,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,104,1,0.03271986,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,105,1,-0.01972326,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,105,0,-0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,105,0,-0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,106,1,0.021935863,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,106,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,106,1,0.0044726427,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,107,0,0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,107,1,0.0052565313,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,107,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,108,1,-0.038490172,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,108,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,108,1,0.0088493,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,109,0,0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,109,1,0.0035149993,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,109,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,110,1,-0.059316907,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,110,1,-0.01967896,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,110,1,-0.034264058,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,111,1,0.002611612,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,111,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,111,1,0.0038379147,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,112,1,-0.03224888,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,112,1,-0.0056437557,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,112,1,-0.031068297,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,113,0,0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,113,1,-0.005461296,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,113,0,-0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,114,1,0.022434084,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,114,1,0.00040169008,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,114,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,115,1,-0.006993535,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,115,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,115,1,-0.019302184,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,116,1,0.01454344,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,116,1,0.046500865,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,116,0,-0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,117,0,0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,117,1,0.020549392,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,117,1,0.0007697552,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,118,1,0.0042970846,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,118,1,0.033476338,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,118,0,-0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,119,1,0.0069235214,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,119,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,119,0,-0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,120,0,0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,120,1,0.007220628,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,120,0,-0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,121,1,0.01690355,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,121,0,-0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,121,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,122,0,0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,122,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,122,1,0.0071744886,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
